Product,Link,Pricing
AWS IoT SiteWise,https://aws.amazon.com/iot-sitewise/,https://aws.amazon.com/iot-sitewise/pricing/
AWS KMS,https://aws.amazon.com/kms/,https://aws.amazon.com/kms/pricing/
AWS Lambda,https://aws.amazon.com/lambda/,https://aws.amazon.com/lambda/pricing/
AWS Migration Evaluator,https://aws.amazon.com/migration-evaluator/,https://aws.amazon.com/migration-evaluator/pricing/
AWS Migration Hub,https://aws.amazon.com/migration-hub/,https://aws.amazon.com/migration-hub/pricing/
AWS Organizations,https://aws.amazon.com/organizations/,https://aws.amazon.com/organizations/pricing/
AWS Private CA,https://aws.amazon.com/private-ca/,https://aws.amazon.com/private-ca/pricing/
AWS Secrets Manager,https://aws.amazon.com/secrets-manager/,https://aws.amazon.com/secrets-manager/pricing/
AWS Security Hub,https://aws.amazon.com/security-hub/,https://aws.amazon.com/security-hub/pricing/
AWS Shield,https://aws.amazon.com/shield/,https://aws.amazon.com/shield/pricing/
AWS Step Functions,https://aws.amazon.com/step-functions/,https://aws.amazon.com/step-functions/pricing/
AWS Storage Gateway,https://aws.amazon.com/storagegateway/,https://aws.amazon.com/storagegateway/pricing/
AWS Systems Manager,https://aws.amazon.com/systems-manager/,https://aws.amazon.com/systems-manager/pricing/
AWS WAF,https://aws.amazon.com/waf/,https://aws.amazon.com/waf/pricing/
AWS X-Ray,https://aws.amazon.com/xray/,https://aws.amazon.com/xray/pricing/
Elastic Load Balancing,https://aws.amazon.com/elasticloadbalancing/,https://aws.amazon.com/elasticloadbalancing/pricing/
